,리뷰
79,토스qr체크인을 아주 잘 쓰고 있습니다. 그런데 요즘 한 가지 아쉬운 점이 생겼습니다. 예전에는 15초 정도 지나면 qr코드가 자동으로 새로고침 되었는데 이제는 qr새로고침이라는 버튼이 생겨서 이 버튼을 눌러야 새로고침이 됩니다. 예전처럼 1분까지는 qr코드가 자동으로 새로고침되도록 수정 부탁드립니다.
80,토스앱은 다좋은데 한가지없는기능이있는거 같습니다 예약송금기능이없는거 같습니다.이기능을 개발해서설치하시면 앱사용이더 편리할거같습니다.
81,"어플 잘 쓰고 있습니다만, 조금 아쉬운 부분이 있어 건의드립니다 소비 항목의 카테고리에, 2단계까지 하위 분류를 만드는 건 어떠신가요 개인적으론 이거 하나만 반영되면 정말 좋을 것 같습니다"
82,"토스만족스럽게사용중인데 매주월요일에 고를수있는브랜드캐쉬백에 평소 자주 많이 이용할수있는 브랜드들좀나왔으면요. 예를들면 편의점들, 인터넷 쇼핑몰(예:g마켓)같은거요. 몇주째이상한브랜드들만나와요"
83,앱 아주 유용하게 쓰고있습니다. 그런데 몇가지 개선되면 더 좋을 것 같아 남겨봅니다. 홈에서 새로고침 시 잔액이나 연동된 카드값 변동이 한번에 빠르게 나타나지 않아 살짝 불편합니다. 또한 연동된 신용카드 납기일별 사용기간이 실제와 달라 신용카드 앱에서 확인해야 합니다. 앞으로도 기대하겠습니다!!
84,송금한후 알림 문자가오게 개선바랍니다. 물론 앱자체에 알림을 찾아들어가 확인은 가능하나 불편합니다.
85,"너무 잘 사용하고있는 어플입니다. 아직 만15세가 아니라, 현금만 들고다니고 인터넷 결제같은건 상상도 못했던 일이였는데 지금은 카드들고다니고 인터넷 결제도 마음껏 합니다!부모님도 마음에 들어하셔서 더 좋네요. 어플 자체도 친절하고 카드가 레전드입니다.. 1000원은 공짜로 주니 관심있으시면 토스 해보세요!"
86,이것저것 다 마음에 들지만 딱 하나 크게 불편한 점. 가계부 기능이 다른 어플에 비해 사용하기 불편하다 1. 소비 내역에 들어갔을 때 달력을 상하나 좌우로 슬라이드해서 전월 결제를 좀 더 보기 편하게 했으면 좋겠다 2. 지출 수입 카테고리를 내 맘대로 전체 변경/삭제할 수 있어야하고 순서변경도 전혀 안되는 점은 이해가 안된다 3. 예산 기능이 추가되었으면 좋겠다 이 어플 하나로 다 가능했으면 좋겠는데 굳이 가계부를 이중으로 쓰고있는 점이 아주 불편하다 오로지 무료송금과 포인트만을 위한 어플에 머무르기엔 아까움
87,입출금내역이 간간히 오류로 기록이 안되네요. 어제 있었던 일입니다.. 돈을 받았는데 못받은줄알고 이야기 꺼내야하나 말아야하나 고민하고 있었는데 준쪽에서 미리 말해줬으니 망정이지..잘못하면 결레를 저지를 뻔했어요.. 그동안 잘써왔는데 실망이 컸습니다. 이번 업데이트에 문제가 있는건지..은행앱이 가장 기본인 입출금 기록이 안되면 어떡하나요..
88,"입,출금 하기도 너무너무 쉽고 유스카드도 만들 수 있어서 너무너무 좋은 것 같아요!! 카드 한도도 부족하지 않고 그 외에 QR체크인이나 머니팁 등 유용한 기능들이 많아서 너무너무 잘 쓰고 있어요!! 나이가 어려서 은행에 가야지만 계좌이체를 할 수 있었는데 이제는 토스로 간편하게 할 수 있어서 편해요🥰🥰"
89,진짜 잘 이용하고 있는데요.. 4월 10일에 계좌에 잔액을 채워두었는데도 교통카드 사용 금액은 11일날 출금되었더라고요.. 그런데 알림으로 연체된 금액이 없다고 안내가 왔음에도 불구하고 11일 오후 5시에 교통카드를 사용하려고 하니까 사용불가 카드라고 하네요.. 확인 부탁드려요
90,"잘 사용하고 있습니다. 다만, 요즘은 잔액 갱신이 느리네요. 이는 특정 계좌나 어플 재설치와는 무관한 문제인듯 합니다. 꼭 좀 보완 부탁드립니다."
91,"마이데이터 서비스 확대 운영 이후부터 앱 오류가 빈번합니다. 입출금 내역, 소비 내역이 갱신이 되지 않아 잔액 확인이 불가능하며, 앱 업데이트도 해봤지만 그대로입니다. 올해 1월에도 이 문제로 한창 떠들썩했는데 또 이러네요."
92,평소에 광고로도 많이봐서 깔아봤습니다 전 만 12세 이상인 10년생 인데 토스 카드를 주문하여 제가 사용할수 있는 부분이 어떤게 있는지 모르겠어요 그리고 10년생 도 온라인에서 활용 가능한가요? 제가 그림그리는데 커미션 열어보려하니 카드나 계좌 등이 없어서 못 했거든요ㅜㅠ 혹시나 해서 여쭈어 보겠습니다
93,최근 더치페이만 들어가면 튕기는 현상이 발생합니다. 같은 연구실 선배도 해당문제 발생하는데 연구실생활하면서 더치페이 기능을 가장많이 사용하는데 더치페이 튕김현상좀 빠르게 해결해주세요
94,검색해서 찾는 기능 있으면 너무 좋을 것 같아요 예를들어서 보낼때 홍길동 검색했을때 홍길동과 거래한 기록이 뜰 수 있도록이요
95,주식 자동주문 10개 제한 문의 드렸는데 바로 늘려주셔서 감사합니다! 한가지 더 부탁이 있다면 자동주문 설정해놓은 거 내가 원하는대로 보기 편하게 순서 왔다리갔다리만 할 수 있게끔 해주시면 정말 좋을 것 같습니다!
96,토스 잘 사용 하고 있었는데 어제부터 혜택 기능에 포인트 받기가 안되고 계속 화면이 뱅글뱅글도는것만 나오고 진행이 안되네요. 왜 그런거죠? 포인트를 못받고 있는데 오류인가요? 언제 개선되나요?
97,"방금 토스를 통해 나도 모르고 있던 묵은 자산 계좌이체 통합 성공입니다! 이것은 금융혁신입니다.가장 우선되어 확보되어야 하는 신뢰,그리고 신속,두가지 다 대만족입니다. 저의 지문으로 다 처리 되었어요. 토스 감사합니다."
98,참 좋은 앱 같습니다. 그런데 개선되었으면 하는 점 1가지 말씀드립니다. 오픈 뱅킹으로 송금 시 은행 계좌는 송금액 입력 화면에서 출금 가능액 확인이 가능한데 증권 계좌는 획인이 안됩니다. 송금액 입력 화면 이전의 화면에서 출금 가능액 확인이 가능하지만 송금액 입력 화면에서도 확인 가능토록 개선되었으면 좋겠습니다.
99,오픈채팅은 그냥 만들어만 놓으셨네요 부방기능도 강퇴해제 기능도 동영상도 하나 안올라가고 인원을 정해놔도 계속 사람들은 들어오고 그러네요
100,걸음수 카운트를 삼성헬스에 연동할 수 있는 옵션을 제공해 주시기 바랍니다. 워치만 착용하고 걸은 걸음수를 적용할 수 있도록... 감사합니다. 220518 추가) 오늘 답변으로 충분히 만족합니다. 고맙습니다. ^^
101,토스 어플 10년째 잘 사용 하고 있습니다 그런데 데이터로 쓸땐 광고가 거의 안나오는데 와이파이 잡을때는 광고가 많이 떠요 이거만 개선을 해주시면 좋을거 같아요^^
102,"개인적으로 너무 편리하고 깔끔하게 잘 만들어져서 핀테크 앱중 최고라고 생각합니다. 다만 한가지 아쉬운것이, 저는 다른 증권계좌와 연결을 해서 해외 주식을 하고있는데, 해당 계좌에서 배당금이 들어왔을때 토스에서 확인하면 달러로 제대로 표기가 안되고 원화로 표기되는 현상이 있습니다. 10달러가 들어왔다고 한다면 10원으로 뜨는 식으로요. 매매에서는 달러가 제대로 나오는반면 입출금탭에서는 그렇게 뜨니 불편한점이 있어서 수정되었으면 하는 바람이 있습니다. 그 외에는 여러가지 기능들을 너무만족하면서 쓰고있어요."
103,"업데이트도 늦고, 주식 매도한지 4일이됐는데도 보유주식으로 떠있고, 도대체 뭐하는건지.신뢰가 안가네. 최소한 몇시간안에 업데이트 되야 계속 쓸거아닌가? 2프로때문에 여기있긴하지만 조만간 더 털고 나가야지."
104,수수료도 없고 수시로계좌이체간편하게이용할수있어서너무좋습니다. 지인에게도추천많이했습니다. 고맙습니다.
105,정말 쓰기 유용한 앱입니다 하지만 이번에 폰을 바꾸게 되었는데 계정 찾는 법 을 모르고 있습니다 혹시 되신다면 문의 번호를 적어 주실수 있으실까요? 제가 전화 한 번 하고 싶어서요 ㅎㅎ 앱 자체는 정말 좋아요
106,토스 주식 자동주문 없애는 기능은 없나요? 애플주식 자동주문을 끄는건 가능한데 삭제는 찾아봐도 보이지 않습니다. 잘못 눌러서 비싸게 사버리고ㅡㅡ
107,"토스증권 개선 좀 해주세요 타 증권 어플과 시인성 때문에 같이 사용합니다. 그런데. 체결속도, 이슈반영, 정말 현저하게 느리고 떨어집니다. 특히 매도매수시 체결, 하물며 예약주문 조차도 한템포 느립니다. 첨에는 인터넷 속도 때문인가 했는데 5g로 미친 속도로 해도 타 증권에 비해 현저히 떨어집니다 그리고 증권사용에 있어 시외가는 기본 중에 기본인데 이게 없네요 추가 좀 해주세요"
108,"마이데이터 이후로 연결한 계좌내역이 이상하게 늦게 뜹니다. 보통 새로고침을 했으면 새로운 내역이 떠야 정상인데 그렇지 않고, 바로 보려면 자산 연결 동의 항목을 수정을 해야 합니다. 새 내역을 보려고 할 때마다요. 한 두번은 그렇다 치는데 계속 이러니 짜증나네요."
109,"토스는 정말 유용한 앱인 것 같아요. 토스통장도 사용하기 시작했는데, 입금받았을때 내역을 개인적으로 메모하고 확인할 수 있는 기능이 추가되었으면 좋겠습니다. 송금할때도 송금 직전에 송금내역을 메모하지 않으면 송금 이후에는 내역메모가 안되더라구요. 별개로 [소비]기능에서 입출금 내역을 메모하고 확인할 수 있는 기능이 있기는 하지만, 이왕이면 토스뱅크 통장 내역에서 바로 내역메모를 추가하고 볼 수 있으면 훨씬 편리할 것 같네요."
110,"토스와 함께한지 1226일째. 지금은 사용하지 않아 보관중인 토스머니카드 두장.. 사용하며 늘 드는생각이지만.. 편안함과 직관성, 다양한 기능면에선 토스를 넘어서는 앱은 없었다. 아직도 토스를 사용하고 있지 않다면.. 꼭 사용해보길 바란다."
111,"좋아요. 근데 바라는점이 있는데요ㅎㅎ 제가 토스로 국내주식시작한 주린입니다. 근데 이번에 해외주식 투입돼서 아주 신나있는 상태예요. 다른곳에서 해외주식 하다가 토스로 갈아탔는데요. 아무래도 분산투자를하다보니 항목들이 너무 많아졌어요. 관심종목을 나눌 수 있고, 꾹 눌러서(?) 위치를 정할 수 있었으면 좋겠어요. 그럼 앞으로도 좋은 개발 응원하겠습니다!"
112,토스 결제가 편리해서 좋아요. 만보기 기능은 핸드폰을 들고 있어야만 카운트 된다는 게 아쉬워요. 걷기 운동할 때 블루투스 연결한 워치를 착용하는데 이건 동기화가 안돼서 카운트가 안되더라구요.
113,연동을 하고 싶어 인증서를 발급 받고 싶지만 현역 군인들은 카메라 사용이 제한 되어 있어 불가피 하게 인증을 못합니다.. 이런 경우로 인해 사용을 못하는데 해결이 필요합니다. Pc연결 자체도 안되고 그래서 은행 어플에 있는 모바일 인증서 사용이 가능한 것도 아니고 편해서 사용 했었는데 뭔가 섭섭하네요..
114,"지금까지 구버전으로만 사용하다가 실수로 업데이트 했는데 업데이트 하자마자 실망만 하고 갑니다... 공동인증서니 뭐니 불편하고 귀찮은 절차를 몇번이나 거쳤는데, 거의 농협 통장만 쓰고 있으나 몇번이나 사용해봐도 농협 통장만 연결이 되지 않네요. 이럴거면 업데이트를 왜 했나 싶습니다. 그냥 구버전으로 쓸걸 그랬죠. 그게 훨씬 직관적이고 쓰기 편하고 좋았는데."
115,"제꺼 왜 삭제하신거죠? 채팅상담은 30분동안 연결안되고, 전화도 마찬가지 대기시간도 모른채 30초마다 기다린다는 버튼 무조건 눌러야하고요. 24시간 상담 무색하게 상담원 연결되자마자 토스 안에서 만든 계좌 연결이 안되서 문의하니 공지도 없었으면서 연결이 어렵다는 본인 할말하고 사라졌다 십분뒤에 다시 답하는 기현상 하... 대출문의하니까 3분만에 채팅 연결되던데 본인들 소관 아니라는 말밖에는 없고. 그냥 고객을 어떻게 생각하는지가 잘 보였고 그래서 다신 이용할 생각이 없습니다. 삭제는 안하셨으면 좋겠네요."
116,다좋은데요.. 아니 군인 같은 경우는 카메라 사용이 힘들어서 신분증 인증에 카메라 사용이 불가능합니다;; 제발 조치를 취해서 입력으로도 가능하게 해주셔야 사용을 할 수 있습니다. 제발 이 부분 개선 해주세요. 쓰고 싶어도 쓸 수가 없습니다.. 빠른 시일 내로 조치 취해주시면 감사하겠습니다.
117,"최근 업데이트 하고 나서 소비내역 분석 중 동백전(하나은행) 계좌 이체금액을 소비에서 제외 하고 싶은데, 하나씩 제외는 가능 하지만 다른내역도 모두 제외 하기가 되지않습니다. 이전 버전에서는 가능 했는데 일일이 동백전 이체금액을 제외할려니 너무 불편합니다."
118,"새해들어 토스인증서 발급 이후로 은행 통장(우리, 하나) 잔액이 실시간 반영이 안됩니다. 그리고 잔액은 맞지만 거래내역이 업데이트가 안되는 경우도 있구요. 더 불편해졌습니다. 버그 개선한다더니 버그가 생기는 이 아이러니함.. 그냥 주거래은행 어플로 타행 등록해서 써야할것같아요."
119,편하고 수수료도 없고 진짜 좋아요. 근데 토스 프라임 결제 하고 기간이 남았는데 왜 자꾸 포인트가 안들어오는지 모르겠어요...기준이 있나요? 몇번 쓰면 그 뒤에 안들어오는건가요? 똑같은 앱으로 결제햤는데 전엔 들어오다가 지금은 안들어오넹요.. 토스프라임 결제비는 나가는데 포인트가 하나도 안들어와 ㅋㅋㅋㅋㅋㅋ 좀 짜증나는ㄴ데요..
120,많이 깊게 모든걸 다 투시해서 보는 토스가 편리하기도 하지만 한편 너무 파고드는 입장이라 당황스럽기까지 하네요. 인증을 특별히 하라고 하는 이유가 뭔지 ... 기존 그대로 다보고 있고 송금도 자유롭게 하는입장인데 느닷없이 인증하라고 하는데 마음에 들지 않네요. 각 은행별 인증도 각각하고 있고 공인인증서로 들어가면 됐지 또 개별적으로 한단계 높이는 이유는? 왠지 퇴장하고 싶은 마음이 들어요
121,그럭저럭 잘 쓰고 있는데 앱이 멈추는 경우가 종종 있어요. 데이터나 폰 문제는 아니고 서버 개선이 필요해보여요. 은행 금액이나 대출금 반영이 제대로 안 돼요. 끝난 대출이 안 없어져서 하나씩 연결 끊는 걸로 지웠어요. 은행 적금 금액도 반영이 되다말다 해요. 아예 안 되는 것도 아니고 되다말다요. 증권은 보기 편해서 잘 쓰고 있어요
122,"왜 갑자기 통장 내역이 3개월 이내에 한 것만 나오게 되었나요... 그래서 찾고찾아 입금, 출금 내역 정리 돼있는 걸 찾았는데 입금 내역이 맨 처음과 최근 기록 빼고 다 사라져있어서 정리가 힘듭니다ㅠ 출금은 다 나와있는 것 같은데 입금만 없어서 졸지에 돈만 많이 쓴 사람의 기록이 되었네요... 해결 부탁드립니다"
123,"잘쓰고 있으나 메뉴 정리가 좀 필요합니다. 직관적이고 단순하지 못하고 너무 많아요. 게다가 1회성 예약이체를 송금 메뉴에서 지정하지 못하고, 자동이체 화면에서 송금횟수 1회로만 지정해서 설정해야하는게 너무너무 불편합니다."
124,"토스 어플 쓰고나서 금융과 통장관리가 정말 편해졌어요. 만보기 도 그 중 하나인데, 만보기에서 주변을 보면 지도를 받을때 모바일 데이터를 많이 잡아먹어 부담되네요. 자주 가는 곳이 제한적인데 타 앱처럼 지도 다운 받아 모바일 데이터를 아껴주셨으면 좋겠습니다."
125,"정말 잘 쓰고 있어요! 적금같은 자동이체가 저축으로 알아서 인식되니까 일일이 변경안해도 되고 지출내역 확인하는 게 편해요. 포인트들도 확인 할 수 있어서 좋네요. 한가지 건의사항이 있다면 가계부 기능에 예산설정 기능 있으면 좋을 것 같아요. 제가 이전에 쓰던 가계부 어플은(b....) 예산설정 기능이 있어서 내가 이번달 얼마나 썼고, 남은 돈은 얼마인지 확인할 수 있어서 효율적으로 돈을 관리할 수 있더라구요. 여러 계좌를 한 번에 연동해서 보는 편리한 어플이지만 그만큼 계좌가 많은 사람들은 예산 관리하는 게 번거로울 것 같은데 이 기능이 있으면 더 편리할 것 같아요! 가계부를 꼼꼼히 쓰는 사람들은 따로 가계부 어플까지 깔아서 쓰는 경우도 많아요. 가계부 기능 강화와 예산 설정 기능까지 있으면 따로 어플 안깔아도 되고 가계부 어플 쓰려던 사람들도 유입될 수 있으니 고려해주시면 좋겠습니다∼∼😆"
126,"현재 느끼는 두가지 불편사항. 첫째, 타행어플에서 내 토스통장으로 입금하면 알림 뜨는데 토스 내 다른 통장에서 내 토스통장으로 입금하는 건 알림안떠서 가계부 작성에 차질 발생.. 차라리 카뱅의 엄청난 알림이 나았을 정도. 그건 끄고 켜는 거 설정이라도 가능하니. 근데 토스는 그런 설정 없음. 2. 송금 실행시 '추천', '계좌'보다 토스아이디 입력하는 '검색'이 뜨는 게 노이해. 내 주위에는 토스 쓰는 사람 없어서 계좌입력하거나 최근보낸계좌 기능 이용하는데 송금 때마다 추천 혹은 계좌 눌러줘야함. 송금시 제일 먼저 뜨는 창을 설정할 수 있게 해줬으면 좋겠음. 솔직히 별것도 아닌데 송금할 때마다 쓰지도 않는 검색창이 기본으로 떠서 추천이나 계좌 버튼 다시 눌러주는 게 반복되니 괜히 열받음."
127,"토스프라임 쓰지마세요!!!! 토스프라임 안내를 보면 안내된 모든브랜드에서 결제하면 무조건 적립금 6%준다고 되있는데, 오늘 배민에서 토스체크카드로 결제했는데 적립금 미적립됨. 고객센터에 채팅으로 문의하니 해당가맹점은 계좌로 결제하는 가맹점이라고 안내하고 도와줄수 없다고함. 그래서 가입할때는 어디에도 그런내용 없었는데 왜 결제하고나서 물어보니 그때야 답해주냐, 해당건 보상해달라했지만, 할수없다는 답만옴. 본인들 유리한 내용으로 광고는 노출시켜놓고 막상 사용하니 혜택은 없음. 소비자센터통해 고발 예정. 다른분들은 이런 귀찮은일 겪지말고 토스프라임 가입하지마세요!!!!!!!!"
128,토스 초창기에 사용했던 이유는 통장 입출금내역 최근 불러오기와 여기저기 눌렀을때 쉽고 빠르고 간편했던 이유입니다.. 현재 통장 거래내역 하나 불러오는 것 조차 심각하게 오래 걸리고 들어가서 확인하지 않더라도 메인 화면에서 잔액 조회가 간편하게 되었었는데 지금은 로딩이 너무 길고 꼭 눌러줘야 잔액 변화가 생깁니다. 이것저것 많이 추가해주신 사항들 너무 잘 쓰고 있지만 기존에 사용하던 기능들이 많이 느려지고 있으니 그거또한 최적화 시켜주셔서 빠른 움직임이 되도록 만져주세요. 갤럭시s21울트라인데도 토스가 느린건 토스 어플 자체에서의 문제같다고 생각합니다.
129,"업데이트 후 더 불편해졌네요. 1. 토스인증서가 필요하대서 발급했지만 제대로 연동이 안되고 있어요. 삼성증권과도 겨우 연결했고, 기존의 농협 주택청약 통장과는 아직도 연결이 안되고 있습니다. 2. 사용자의 설정을 무시하고 무조건 예금계좌와 투자(증권)계좌로 나뉘어 분류하고있어 불편합니다. 저는 cma계좌를 투자가 아닌 입출금 용도로도 사용하는데 아무리 기존 정렬대로 편집해도 투자로 분류돼서 보기가 굉장히 불편해졌어요. 토스를 잘 사용하고 있었는데 최근 불필요한 서비스를 너무 확대하고 집중해서 가장 기본적인 계좌 연동이나 정렬등의 기능이 많이 부실해진 듯 합니다. 업데이트지만 다운그레이드라고 보이네요. 아쉽습니다. 퇴보했어요"
130,"항상 이런 편리한 앱을 만들어준 토스에게 감사합니당!! 그런데 건의사항이 하나 있어요! 첫 페이지의 카테고리편집을 더 자유롭게 해주셔도 될듯합니다! 예금계좌별로 급여,저축,비상금 등. 용도가 다양한데에 반해 자산, 저축, 투자 이렇게만 나뉘어져 있어요.! 거기다 제 증권 cma통장은 비상금통장인데 투자카테고리에만 있어야 하고, 어떤계좌는 적금자동이체통장인데 저축계좌로 옮기지 못합니당. 차라리 나만의 카테고리 만들기와 자유로운 계좌분배가 나을수도 있을 것 같아요.! 또.. 이건 그저 제의해보는 건데, 간단하게 나만의 ui설정을 만들어서, 현재의 계좌 나열구조인 1-2-3-4(일렬) 방식에서, 12-34 (가로2개, 세로2개의 바둑판) 이렇게도 설정 가능하면 어떨까 싶어요! 안되더라도 저는 토스 계속 사랑할겁니당!! 그저 작은 의견이였어요!!"
131,답변후 다시 글등록 유선으로도 연락을 한지 30일이 넘었은데 조치가 없네요. kisa에 우선 의뢰하렵니다. 서비스보다. 지킬건 지킵시다.. 개인정보 보호 넘 심각 한것 같네요. 제 개인 정보 저장 한 시간이 3년 넘긴것 같은데. 암튼. 봅시다. 대화 친구 목록 왜 도대체 예전 휴대폰에 있던 전화번호 상대가 자동 추가되나요?? 조속한 시일내에 해당 기능 수정 해주세요. 개인정보 침해 아닌가요?? 편리해서 사용하였으나. 삭제 해야 되나요?? .전화번호 삭제시 대화목록에 등록된 대화 상대 정상 삭제됨 .전화번호 신규 등록시 대화상대 실시간 등록됨 .현재 전화번호가 없고. 예전에 등록되었던 전화번호 상대가 대화목록에 존재함 - 이런 상대방들이 수시로 자동 등록됨 - 삭제 기능 존재 안함 . 대화상대는 서버에서 저장해서 가지고 있는 정보인가요? 답변 부탁 드립니다.
132,ㅡ추가 ㅡ 답변대로 했습니다. 신분증사진도 다시 찍고 토스인증서도 새로 했는데...그러나... 물음표는 물론이고 이미 연결되었다는 메세지도 두번은 더 봤네요... 공동인증서는 왜 없다고 나오는지... 다른 은행앱들에서는 잘만 쓰고 있는 인증서가 말이죠... 쩝... 진짜 굿바이 해야 할 거 같습니다... 차라리 앱을 업뎃으로 수정하지 말고 과감히 폐기하시고 새로 만드시는 게 맞을 거 같습니다... 굿바이 토스.. 그동안 잘 쓴 건 고마웠네요.. ㅡㅡ원본ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ 업데이트 이후 개판되었네요. 공동인증서는 이미 설치 되었는데도 없다고 나오고 토스인증서도 받았고 아예 지우고 다시 깔아도 물음표는 없어지지 않습니다. 다시 연결하면 이미 연결했다고 나오고... 그동안 참 잘 썼는데 아쉽지만 바이바이 해야 할듯... 굿바이
